"date","wave","wave.day","type","cases.stat"
2020-03-02,"Primera",1,"Casos",19
2020-03-02,"Primera",1,"Media móvil de 7 días",NA
2020-03-02,"Primera",1,"Spline (df=33)",-26.1052246989708
2020-03-02,"Primera",1,"Cambio en spline",NA
2020-03-02,"Primera",1,"Índice (día 1 = 100)",NA
2020-03-03,"Primera",2,"Casos",18
2020-03-03,"Primera",2,"Media móvil de 7 días",NA
2020-03-03,"Primera",2,"Spline (df=33)",-12.7063830020857
2020-03-03,"Primera",2,"Cambio en spline",-0.513262837282277
2020-03-03,"Primera",2,"Índice (día 1 = 100)",NA
2020-03-04,"Primera",3,"Casos",15
2020-03-04,"Primera",3,"Media móvil de 7 días",NA
2020-03-04,"Primera",3,"Spline (df=33)",0.0413554768250977
2020-03-04,"Primera",3,"Cambio en spline",-1.00325470094978
2020-03-04,"Primera",3,"Índice (día 1 = 100)",NA
2020-03-05,"Primera",4,"Casos",12
2020-03-05,"Primera",4,"Media móvil de 7 días",18.5714285714286
2020-03-05,"Primera",4,"Spline (df=33)",12.216703325188
2020-03-05,"Primera",4,"Cambio en spline",294.407144665635
2020-03-05,"Primera",4,"Índice (día 1 = 100)",100
2020-03-06,"Primera",5,"Casos",16
2020-03-06,"Primera",5,"Media móvil de 7 días",25.7142857142857
2020-03-06,"Primera",5,"Spline (df=33)",23.8983731304294
2020-03-06,"Primera",5,"Cambio en spline",0.956204754613021
2020-03-06,"Primera",5,"Índice (día 1 = 100)",138.461538461538
2020-03-07,"Primera",6,"Casos",21
2020-03-07,"Primera",6,"Media móvil de 7 días",31.7142857142857
2020-03-07,"Primera",6,"Spline (df=33)",35.1650774799758
2020-03-07,"Primera",6,"Cambio en spline",0.47144231484112
2020-03-07,"Primera",6,"Índice (día 1 = 100)",170.769230769231
2020-03-08,"Primera",7,"Casos",29
2020-03-08,"Primera",7,"Media móvil de 7 días",38.8571428571429
2020-03-08,"Primera",7,"Spline (df=33)",46.0955289612538
2020-03-08,"Primera",7,"Cambio en spline",0.310832572102311
2020-03-08,"Primera",7,"Índice (día 1 = 100)",209.230769230769
2020-03-09,"Primera",8,"Casos",69
2020-03-09,"Primera",8,"Media móvil de 7 días",50.5714285714286
2020-03-09,"Primera",8,"Spline (df=33)",56.7684401616897
2020-03-09,"Primera",8,"Cambio en spline",0.231538967898755
2020-03-09,"Primera",8,"Índice (día 1 = 100)",272.307692307692
2020-03-10,"Primera",9,"Casos",60
2020-03-10,"Primera",9,"Media móvil de 7 días",64.4285714285714
2020-03-10,"Primera",9,"Spline (df=33)",67.2625236687099
2020-03-10,"Primera",9,"Cambio en spline",0.184857703983599
